chunk_id,document_id,series_id,chunk_index,section,text,department,category,subcategory,document_type,country,classification,allowed_roles,allowed_departments,version,status,owner_team,source_system,updated_at,content_hash
ENG-000001-C00,ENG-000001,ENG-DATABASE-00001,0,Read Replicas — Global,"Read Replicas — Global
Read Replicas — Global
# Read Replicas — Global",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,624b98235ed1
ENG-000001-C01,ENG-000001,ENG-DATABASE-00001,1,Purpose,"Read Replicas — Global
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,bfa358b9e8e2
ENG-000001-C02,ENG-000001,ENG-DATABASE-00001,2,Scope,"Read Replicas — Global
Scope
Archived versions remain available for audit purposes but must not be used for new decisions. This version is the global baseline; country-specific documents may impose additional requirements.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,72ff16f151e1
ENG-000001-C03,ENG-000001,ENG-DATABASE-00001,3,Requirements,"Read Replicas — Global
Requirements
- Read Replicas must follow the current approved policy and ownership model. - Operational evidence for read replicas should be retained according to the applicable retention schedule. - Exceptions involving read replicas require documented approval from the responsible owner. - Teams should use standard tooling and published procedures when working with read replicas.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,08391470cdaa
ENG-000001-C04,ENG-000001,ENG-DATABASE-00001,4,Controls,"Read Replicas — Global
Controls
Requests requiring elevated access must be approved by the designated owner and recorded in the enterprise service system.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,d9c055082577
ENG-000001-C05,ENG-000001,ENG-DATABASE-00001,5,Procedure,"Read Replicas — Global
Procedure
1. Confirm that the request concerns read replicas.
2. Verify the relevant owner, country, environment, and current version.
3. Follow the approved workflow and capture evidence.
4. Escalate unresolved or exceptional cases to Backend Platform.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,0a9fbc6d9f1a
ENG-000001-C06,ENG-000001,ENG-DATABASE-00001,6,Validation,"Read Replicas — Global
Validation
Verify the current document version before acting.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,1e94312dc9f2
ENG-000001-C07,ENG-000001,ENG-DATABASE-00001,7,Version,"Read Replicas — Global
Version
Version 1.4. Status: ACTIVE.",Software Engineering,Databases,read replicas,coding_standard,GLOBAL,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ACTIVE,Backend Platform,sharepoint,2026-06-02,bcf0bc3468c5
ENG-000002-C00,ENG-000002,ENG-TESTING-00002,0,Integration Testing — Ireland v1.4,"Integration Testing — Ireland v1.4
Integration Testing — Ireland v1.4
# Integration Testing — Ireland v1.4",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,3056bc3fbe3e
ENG-000002-C01,ENG-000002,ENG-TESTING-00002,1,Purpose,"Integration Testing — Ireland v1.4
Purpose
The standard exists to reduce inconsistent implementation, avoid repeated support effort, and provide an auditable source of truth.",Software Engineering,Testing,integration testing,technical_standard,IE,INTERNAL,"[""employee"", ""engineer"", ""tech_lead"", ""architect""]",[],1.4,ARCHIVED,Frontend Platform,google_drive,2026-08-14,9aece7d592cd
