query_id,query,query_type,user_country,user_department,user_role,target_department,target_category,target_subcategory,relevance_judgments
Q-00001,What is the approved company procedure for this data protection situation?,semantic_paraphrase,GLOBAL,Project Delivery,manager,Cybersecurity,Data Protection,data classification,"[{""document_id"": ""SEC-024284"", ""grade"": 3}, {""document_id"": ""SEC-021008"", ""grade"": 2}, {""document_id"": ""SEC-021020"", ""grade"": 2}]"
Q-00002,Where can I find the current guidance owned by Frontend Platform for this issue?,semantic_paraphrase,GLOBAL,IT Support,architect,Software Engineering,Architecture,caching,"[{""document_id"": ""ENG-004994"", ""grade"": 3}, {""document_id"": ""ENG-000077"", ""grade"": 2}, {""document_id"": ""ENG-000107"", ""grade"": 2}]"
Q-00003,What is the approved company procedure for this governance situation?,semantic_paraphrase,UK,DevOps & SRE,engineer,Project Delivery,Governance,status reporting,"[{""document_id"": ""PMO-037655"", ""grade"": 3}, {""document_id"": ""PMO-037048"", ""grade"": 2}, {""document_id"": ""PMO-037501"", ""grade"": 2}]"
Q-00004,What is the split between office days and remote days?,semantic_paraphrase,SG,Organisation & Directory,manager,Human Resources,Remote Work,hybrid schedule,"[{""document_id"": ""HR-026415"", ""grade"": 3}, {""document_id"": ""HR-025713"", ""grade"": 2}, {""document_id"": ""HR-026608"", ""grade"": 2}]"
Q-00005,Where can I find the current guidance owned by Identity Security for this issue?,semantic_paraphrase,GLOBAL,Human Resources,manager,Cybersecurity,Incident Response,data leak,"[{""document_id"": ""SEC-021700"", ""grade"": 3}, {""document_id"": ""SEC-021135"", ""grade"": 2}, {""document_id"": ""SEC-021206"", ""grade"": 2}]"
Q-00006,What should an employee do when they encounter this databases scenario?,semantic_paraphrase,GLOBAL,Human Resources,tech_lead,Software Engineering,Databases,read replicas,"[{""document_id"": ""ENG-000001"", ""grade"": 3}, {""document_id"": ""ENG-000179"", ""grade"": 2}, {""document_id"": ""ENG-000271"", ""grade"": 2}]"
Q-00007,What rules apply during my first months as a new employee?,semantic_paraphrase,IN,Learning & Development,employee,Human Resources,Employment,probation,"[{""document_id"": ""HR-025701"", ""grade"": 3}, {""document_id"": ""HR-025011"", ""grade"": 2}, {""document_id"": ""HR-025018"", ""grade"": 2}]"
Q-00008,The service slows down under traffic and database sessions appear stuck. What should we check?,semantic_paraphrase,UK,Compliance & Legal,sre,DevOps & SRE,Databases,connection pool exhaustion,"[{""document_id"": ""SRE-016089"", ""grade"": 3}, {""document_id"": ""SRE-010386"", ""grade"": 2}, {""document_id"": ""SRE-010594"", ""grade"": 2}]"
Q-00009,Where can I find the current guidance owned by Delivery Excellence for this issue?,semantic_paraphrase,GLOBAL,IT Support,engineer,Project Delivery,Quality,definition of done,"[{""document_id"": ""PMO-037619"", ""grade"": 3}, {""document_id"": ""PMO-037153"", ""grade"": 2}, {""document_id"": ""PMO-037169"", ""grade"": 2}]"
Q-00010,What should an employee do when they encounter this performance scenario?,semantic_paraphrase,US,Human Resources,hr,Human Resources,Performance,mid-year review,"[{""document_id"": ""HR-025004"", ""grade"": 3}, {""document_id"": ""HR-025098"", ""grade"": 2}, {""document_id"": ""HR-025133"", ""grade"": 2}]"
Q-00011,What should an employee do when they encounter this sdlc scenario?,semantic_paraphrase,GLOBAL,IT Support,manager,Project Delivery,SDLC,development,"[{""document_id"": ""PMO-038510"", ""grade"": 3}, {""document_id"": ""PMO-037053"", ""grade"": 2}, {""document_id"": ""PMO-037098"", ""grade"": 2}]"
Q-00012,Where can I find the current guidance owned by Data Platform for this issue?,semantic_paraphrase,IN,DevOps & SRE,engineer,Software Engineering,Architecture,caching,"[{""document_id"": ""ENG-001661"", ""grade"": 3}, {""document_id"": ""ENG-000507"", ""grade"": 2}, {""document_id"": ""ENG-000860"", ""grade"": 2}]"
Q-00013,What should an employee do when they encounter this cost scenario?,semantic_paraphrase,GLOBAL,IT Support,engineer,Cloud,Cost,idle resources,"[{""document_id"": ""CLD-020575"", ""grade"": 3}, {""document_id"": ""CLD-017229"", ""grade"": 2}, {""document_id"": ""CLD-017598"", ""grade"": 2}]"
Q-00014,What is the parental absence entitlement for a new mother?,semantic_paraphrase,US,DevOps & SRE,hr,Human Resources,Leave,maternity leave,"[{""document_id"": ""HR-029541"", ""grade"": 3}, {""document_id"": ""HR-025117"", ""grade"": 2}, {""document_id"": ""HR-025187"", ""grade"": 2}]"
Q-00015,What rules apply during my first months as a new employee?,semantic_paraphrase,AU,Project Delivery,hr,Human Resources,Employment,probation,"[{""document_id"": ""HR-027233"", ""grade"": 3}, {""document_id"": ""HR-025505"", ""grade"": 2}, {""document_id"": ""HR-025645"", ""grade"": 2}]"
Q-00016,Where can I find the current guidance owned by HR Shared Services for this issue?,semantic_paraphrase,IN,Cybersecurity,manager,Human Resources,Onboarding,day-one checklist,"[{""document_id"": ""HR-030689"", ""grade"": 3}, {""document_id"": ""HR-025057"", ""grade"": 2}, {""document_id"": ""HR-025143"", ""grade"": 2}]"
Q-00017,What should an employee do when they encounter this contracts scenario?,semantic_paraphrase,UK,IT Support,compliance,Compliance & Legal,Contracts,vendor terms,"[{""document_id"": ""LEG-043433"", ""grade"": 3}, {""document_id"": ""LEG-043243"", ""grade"": 2}, {""document_id"": ""LEG-043319"", ""grade"": 2}]"
Q-00018,Where can I find the current guidance owned by Workplace Technology for this issue?,semantic_paraphrase,IE,Software Engineering,manager,IT Support,Endpoint,admin privileges,"[{""document_id"": ""ITS-032238"", ""grade"": 3}, {""document_id"": ""ITS-033324"", ""grade"": 2}, {""document_id"": ""ITS-033526"", ""grade"": 2}]"
Q-00019,What should an employee do when they encounter this application security scenario?,semantic_paraphrase,GLOBAL,Cloud,security,Cybersecurity,Application Security,threat modeling,"[{""document_id"": ""SEC-021973"", ""grade"": 3}, {""document_id"": ""SEC-021026"", ""grade"": 2}, {""document_id"": ""SEC-021070"", ""grade"": 2}]"
Q-00020,What is the parental absence entitlement for a new mother?,semantic_paraphrase,US,DevOps & SRE,employee,Human Resources,Leave,maternity leave,"[{""document_id"": ""HR-027456"", ""grade"": 3}, {""document_id"": ""HR-025117"", ""grade"": 2}, {""document_id"": ""HR-025187"", ""grade"": 2}]"
Q-00021,Which interpreter release is supported for new backend services?,semantic_paraphrase,GLOBAL,Software Engineering,architect,Software Engineering,Python Backend,Python runtime,"[{""document_id"": ""ENG-008302"", ""grade"": 3}, {""document_id"": ""ENG-000176"", ""grade"": 2}, {""document_id"": ""ENG-000525"", ""grade"": 2}]"
Q-00022,What should an employee do when they encounter this observability scenario?,semantic_paraphrase,IE,Finance & Benefits,employee,DevOps & SRE,Observability,error budgets,"[{""document_id"": ""SRE-010597"", ""grade"": 3}, {""document_id"": ""SRE-010303"", ""grade"": 2}, {""document_id"": ""SRE-010375"", ""grade"": 2}]"
Q-00023,What is the approved company procedure for this governance situation?,semantic_paraphrase,AU,Software Engineering,engineer,Cloud,Governance,service approval,"[{""document_id"": ""CLD-018040"", ""grade"": 3}, {""document_id"": ""CLD-018072"", ""grade"": 2}, {""document_id"": ""CLD-018229"", ""grade"": 2}]"
Q-00024,Where can I find the current guidance owned by Cloud Platform for this issue?,semantic_paraphrase,GLOBAL,Software Engineering,employee,Cloud,Cost,rightsizing,"[{""document_id"": ""CLD-017567"", ""grade"": 3}, {""document_id"": ""CLD-017056"", ""grade"": 2}, {""document_id"": ""CLD-017083"", ""grade"": 2}]"
Q-00025,Where can I find the current guidance owned by Procurement for this issue?,semantic_paraphrase,IN,DevOps & SRE,finance,Finance & Benefits,Payroll,bank changes,"[{""document_id"": ""FIN-042520"", ""grade"": 3}, {""document_id"": ""FIN-040555"", ""grade"": 2}, {""document_id"": ""FIN-040562"", ""grade"": 2}]"
Q-00026,What is the approved company procedure for this apis situation?,semantic_paraphrase,GLOBAL,Compliance & Legal,engineer,Software Engineering,APIs,idempotency,"[{""document_id"": ""ENG-009849"", ""grade"": 3}, {""document_id"": ""ENG-000053"", ""grade"": 2}, {""document_id"": ""ENG-000091"", ""grade"": 2}]"
Q-00027,What is the approved company procedure for this java services situation?,semantic_paraphrase,IN,Cybersecurity,tech_lead,Software Engineering,Java Services,dependency management,"[{""document_id"": ""ENG-003414"", ""grade"": 3}, {""document_id"": ""ENG-000184"", ""grade"": 2}, {""document_id"": ""ENG-000236"", ""grade"": 2}]"
Q-00028,What is the approved company procedure for this testing situation?,semantic_paraphrase,GLOBAL,Project Delivery,engineer,Software Engineering,Testing,integration testing,"[{""document_id"": ""ENG-002378"", ""grade"": 3}, {""document_id"": ""ENG-000072"", ""grade"": 2}, {""document_id"": ""ENG-000157"", ""grade"": 2}]"
Q-00029,What should an employee do when they encounter this azure scenario?,semantic_paraphrase,IN,Organisation & Directory,engineer,Cloud,Azure,AKS baseline,"[{""document_id"": ""CLD-020234"", ""grade"": 3}, {""document_id"": ""CLD-017543"", ""grade"": 2}, {""document_id"": ""CLD-017687"", ""grade"": 2}]"
Q-00030,I cannot remember my corporate sign-in secret. How can I get back in?,semantic_paraphrase,US,Project Delivery,employee,IT Support,Identity,password reset,"[{""document_id"": ""ITS-033247"", ""grade"": 3}, {""document_id"": ""ITS-032458"", ""grade"": 2}, {""document_id"": ""ITS-033199"", ""grade"": 2}]"
Q-00031,What is the approved company procedure for this release situation?,semantic_paraphrase,SG,Organisation & Directory,tech_lead,DevOps & SRE,Release,change freeze,"[{""document_id"": ""SRE-012587"", ""grade"": 3}, {""document_id"": ""SRE-010387"", ""grade"": 2}, {""document_id"": ""SRE-010751"", ""grade"": 2}]"
Q-00032,What is the approved company procedure for this sdlc situation?,semantic_paraphrase,GLOBAL,IT Support,engineer,Project Delivery,SDLC,testing,"[{""document_id"": ""PMO-040195"", ""grade"": 3}, {""document_id"": ""PMO-037002"", ""grade"": 2}, {""document_id"": ""PMO-037023"", ""grade"": 2}]"
